FACTORY_NAME,PRODUCT_NAME,PRODUCT_TYPE,LOT,DEFECT_DATE,DEFECT_TYPE,DEFECT_RATE
공장 C,MLCC_05,C0G,32546c79-fed3-4555-b9a0-9af916fdf5d9,2025-09-21,전극손상,0.0138
공장 C,MLCC_05,X7R,af9bce1e-be16-4df5-8284-1cd7d9c6ea29,2025-09-27,전극손상,0.1663
공장 C,MLCC_05,X7R,950b47dc-d827-4003-9171-80870b430e98,2025-09-24,전극손상,0.0392
공장 B,MLCC_05,X7R,d0232529-c9ae-45a3-beea-430b15d3a909,2025-09-26,크랙,0.1736
공장 B,MLCC_05,X7R,8562f202-f72c-4174-aad3-69757953f5df,2025-09-17,크랙,0.0148
공장 B,MLCC_05,X7R,3e0e1ab9-ec7d-4461-895f-dae996aa90f8,2025-09-27,크랙,0.1861
공장 B,MLCC_05,X7R,cc3bc456-c0f7-4046-b355-c606b8d454d3,2025-09-24,크랙,0.0194
공장 B,MLCC_05,X7R,801c05ab-2a3c-4bd7-8efa-e6c33886ad26,2025-09-28,크랙,0.1761
공장 B,MLCC_05,X7R,36737086-cfd3-4e84-8e8e-54315cb56ee0,2025-09-19,크랙,0.0271
공장 B,MLCC_05,C0G,6e9b9e25-1510-48aa-a29e-1408f2c4e697,2025-09-26,크랙,0.1516
공장 B,MLCC_05,C0G,7d9b5d11-9784-4f7e-a6e4-687170464445,2025-09-24,크랙,0.0355
공장 A,MLCC_05,X5R,9af5fe9b-22e1-4bbc-ad9d-b23941bdae61,2025-09-27,크랙,0.1625
공장 A,MLCC_05,X5R,76d598e3-96c4-4d50-bc56-1e574c24884b,2025-09-20,크랙,0.0264
공장 C,MLCC_05,C0G,a31bc9d4-9fea-4e72-aa19-4212371ec5b1,2025-09-26,전극손상,0.1971
공장 C,MLCC_05,C0G,ad836ea3-bc46-4810-b1a8-ad85ab380662,2025-09-17,전극손상,0.034
공장 C,MLCC_05,X5R,3a7296d7-b392-4d5d-af36-a2f3fab81f1a,2025-09-27,전극손상,0.1965
공장 C,MLCC_05,X5R,b0afbe29-de6f-4a9f-963c-204548578fba,2025-09-20,전극손상,0.0423
공장 A,MLCC_05,C0G,9e7de947-7d46-4252-9d70-111601e7e7a2,2025-09-27,전극손상,0.1728
공장 A,MLCC_05,C0G,4ee0ccbb-2bab-4173-aeeb-3a3e77ac21c9,2025-09-24,전극손상,0.0187
공장 B,MLCC_05,X5R,257cbcca-a229-42bb-91fb-c65c55f57dfc,2025-09-27,크랙,0.1662
공장 B,MLCC_05,X5R,1a96a9a2-4ce0-4b97-a3be-92b257d91177,2025-09-20,크랙,0.0149
공장 A,MLCC_05,X7R,5a65a873-6dad-4a2e-9bd6-df33c27bc61f,2025-09-28,전극손상,0.1555
공장 A,MLCC_05,X7R,d9889f27-94d1-46c0-907a-5e90e8487d6a,2025-09-19,전극손상,0.0191
공장 B,MLCC_05,C0G,4a7a00be-5ec9-4a39-a7db-ffcf1f70d7e3,2025-09-27,전극손상,0.1676
공장 B,MLCC_05,C0G,7f9ab4a2-c817-40b7-af4e-1647eebbabd2,2025-09-22,전극손상,0.0222
공장 B,MLCC_05,X7R,ff314843-1297-44ef-be77-0b9adedc6e52,2025-09-26,크랙,0.1742
공장 B,MLCC_05,X7R,23527e44-63ba-4ca1-a270-a088680834ed,2025-09-15,크랙,0.0377
공장 B,MLCC_05,X7R,1fe051a8-c2ec-4841-99f2-cbfac5f714af,2025-09-27,크랙,0.1662
공장 B,MLCC_05,X7R,7b16ee8d-003d-4685-9708-19f19b98abae,2025-09-18,크랙,0.0308
공장 A,MLCC_05,C0G,92929c89-b151-44f2-8d58-aa2563effd4d,2025-09-27,전극손상,0.1986
공장 A,MLCC_05,C0G,7e463510-ab2b-4dee-81f0-548272425f24,2025-09-20,전극손상,0.0485
공장 B,MLCC_05,X7R,a72e6887-d51a-4a42-8e85-8fbc517b89b5,2025-09-26,전극손상,0.1856
공장 B,MLCC_05,X7R,6a83b975-da8b-4d77-b8aa-48917da65665,2025-09-16,전극손상,0.0159
공장 A,MLCC_05,X7R,48699b83-2be0-429f-a347-5ce00e496259,2025-09-26,크랙,0.1988
공장 A,MLCC_05,X7R,64089936-dc52-4879-9103-22acd932a3a9,2025-09-17,크랙,0.0264
공장 C,MLCC_05,C0G,36ddac6e-ae06-419a-b637-0e9e91209e3c,2025-09-26,전극손상,0.1954
공장 C,MLCC_05,C0G,898088a2-57fe-4424-bcef-2aa1e53d0d11,2025-09-20,전극손상,0.0196
공장 B,MLCC_05,C0G,dc3bae32-bcf7-43b0-87a9-d32976a3282e,2025-09-28,전극손상,0.1724
공장 B,MLCC_05,C0G,d1b9b211-16aa-4e20-b7c6-14154e770aa0,2025-09-18,전극손상,0.0321
공장 C,MLCC_05,X7R,3131b617-9cc9-4c14-a96a-fb9b05d09a52,2025-09-28,크랙,0.1685
공장 C,MLCC_05,X7R,a259a71a-4d53-4fd8-a212-f04a35c8e1b5,2025-09-20,크랙,0.0197
공장 B,MLCC_05,C0G,78983583-ff05-411e-ac16-2b8e727ab1c4,2025-09-28,전극손상,0.1992
공장 B,MLCC_05,C0G,9478b7b4-c8ef-4ca9-8ae2-2105afcb3c32,2025-09-24,전극손상,0.026
공장 C,MLCC_05,C0G,39d1fc62-c10a-461a-880b-4b6470d7ed1f,2025-09-26,크랙,0.166
공장 C,MLCC_05,C0G,a5fb55ec-798b-4bfb-89ea-4c0139eb09eb,2025-09-24,크랙,0.0175
공장 A,MLCC_05,X7R,98c1de11-4024-4900-83eb-920550adb7cd,2025-09-26,전극손상,0.1663
공장 A,MLCC_05,X7R,6579e7cc-ec53-4e47-8dab-12ff2fbd5059,2025-09-15,전극손상,0.0188
공장 B,MLCC_05,X7R,20298252-efb2-4ab0-b304-4ebe2337478d,2025-09-26,크랙,0.1613
공장 B,MLCC_05,X7R,8290664d-c73c-4166-b5ab-6726eaa69404,2025-09-21,크랙,0.0358
공장 A,MLCC_05,C0G,8d9958a5-f351-44ec-b6b3-1526db05f199,2025-09-26,전극손상,0.1693
공장 A,MLCC_05,C0G,36c6e5ac-9ceb-4437-9729-13a67370ad59,2025-09-24,전극손상,0.0475
공장 A,MLCC_05,X7R,8f980844-385f-40c2-a3c3-3a4e3a7dee32,2025-09-26,전극손상,0.1868
공장 A,MLCC_05,X7R,1a52225e-9903-477a-a417-e0fa3eea6197,2025-09-19,전극손상,0.0184
공장 C,MLCC_05,X5R,6865284e-48ec-4e89-ba0b-76e3bf481a66,2025-09-28,전극손상,0.1629
공장 C,MLCC_05,X5R,47cb6713-4ae4-4c92-b526-5ffa19ac3516,2025-09-21,전극손상,0.0364
공장 B,MLCC_05,C0G,135fa117-ec5e-4c1c-9555-71a12c265e6d,2025-09-27,전극손상,0.1765
공장 B,MLCC_05,C0G,117eb409-9e84-46fc-b5af-cb8e0fee89c8,2025-09-21,전극손상,0.0197
공장 B,MLCC_05,C0G,1f239f8b-6697-415f-80d4-73b4688e5387,2025-09-28,크랙,0.1941
공장 B,MLCC_05,C0G,f31516da-facf-4ebb-9d77-4fd9e1d15662,2025-09-22,크랙,0.0175
공장 A,MLCC_05,X7R,c408bd0f-61b1-428c-b12f-07fe704ae768,2025-09-27,크랙,0.1863
공장 A,MLCC_05,X7R,33ae44a0-0107-41b2-9a22-505858255ab3,2025-09-15,크랙,0.0459
공장 B,MLCC_05,C0G,80cd0546-1e01-4dec-a4d3-163e37cdabbf,2025-09-26,전극손상,0.1925
공장 B,MLCC_05,C0G,f7bfdb80-d945-413d-8b11-57de6b6abdf9,2025-09-24,전극손상,0.0474
공장 B,MLCC_05,X5R,bfc61266-6665-4869-8b14-01d5faa4a1cd,2025-09-28,크랙,0.1686
공장 B,MLCC_05,X5R,66a79888-5ead-4a01-a064-8c4f36d3d377,2025-09-21,크랙,0.0476
공장 A,MLCC_05,C0G,cb27a521-fe77-4096-870d-7478bb8d55c4,2025-09-27,전극손상,0.158
공장 A,MLCC_05,C0G,d662fe85-a1b9-423f-b1df-ff5fd0b494e5,2025-09-24,전극손상,0.0319
공장 B,MLCC_05,X7R,d8cc234b-db10-4eef-a4b8-3a4bd93d9f32,2025-09-28,전극손상,0.1997
공장 B,MLCC_05,X7R,653249bb-4a31-49ee-87f6-3230cfb9c523,2025-09-19,전극손상,0.017
공장 A,MLCC_05,X5R,7229f7d0-9cd5-4808-b8cb-3ad4b7417fed,2025-09-26,크랙,0.1589
공장 A,MLCC_05,X5R,dfc7222f-f7d1-41de-99e1-8a8b78e6c7ca,2025-09-21,크랙,0.0247
공장 C,MLCC_05,X7R,8cc85e13-e9b6-41a9-8ec6-2577884eb11b,2025-09-28,크랙,0.1654
공장 C,MLCC_05,X7R,5364452d-e87f-4050-971b-5e353d74a857,2025-09-15,크랙,0.0317
공장 C,MLCC_05,X7R,668a9375-c6d4-4189-9cac-17da3d698da8,2025-09-26,전극손상,0.1633
공장 C,MLCC_05,X7R,1057eb5d-9524-4749-b1b2-579e7e3a9c22,2025-09-23,전극손상,0.0198
공장 B,MLCC_05,X5R,dca5983d-31c2-4b02-abf2-53cdcee7cd73,2025-09-26,크랙,0.1743
공장 B,MLCC_05,X5R,8f2e5060-ca6e-4e14-bfdb-1400feacd9ba,2025-09-19,크랙,0.0462
공장 C,MLCC_05,X5R,dce99474-c3d7-4c0e-9f1e-52cb24d68d9e,2025-09-28,크랙,0.1751
공장 C,MLCC_05,X5R,51ab455f-5d20-4770-8d75-4aa23f35fd74,2025-09-21,크랙,0.0331
공장 A,MLCC_05,C0G,59b93ed6-e120-4b83-a182-2284320c827c,2025-09-28,전극손상,0.1861
공장 A,MLCC_05,C0G,dd27da77-ac57-4352-a591-7908c47b2620,2025-09-20,전극손상,0.0212
공장 C,MLCC_05,C0G,c2514a91-e1f9-41bf-93df-c06bc6c2c243,2025-09-27,전극손상,0.1589
공장 C,MLCC_05,C0G,e025fdeb-fb56-4205-9503-8f852c95b1d3,2025-09-21,전극손상,0.0476
공장 A,MLCC_05,X5R,9b2089f0-5d91-405a-bfa3-e1d86acb951f,2025-09-28,크랙,0.1942
공장 A,MLCC_05,X5R,4827fbd5-4abf-4ace-8e8f-913076e94dec,2025-09-21,크랙,0.0399
공장 A,MLCC_05,C0G,0f5aac82-eaa6-4045-b8d4-925cf9901a46,2025-09-28,크랙,0.1776
공장 A,MLCC_05,C0G,f9dcee6c-5d3e-44cc-a0f5-0a323bcfb5ec,2025-09-24,크랙,0.0329
공장 A,MLCC_05,X7R,ef4226b4-840a-4545-9384-5a8d92e6d6f4,2025-09-27,크랙,0.1693
공장 A,MLCC_05,X7R,c3c81713-f3ca-4623-9ff1-7c8fbe785a98,2025-09-24,크랙,0.044
공장 C,MLCC_05,X5R,e5c059b9-ae18-4150-aa9c-3c6ae494cf0f,2025-09-28,크랙,0.1697
공장 C,MLCC_05,X5R,cad88d55-73c8-42ad-aa2b-ce0d8fb2b01f,2025-09-15,크랙,0.0438
공장 C,MLCC_05,X5R,35752070-add1-4117-85f5-a7e97103bcc6,2025-09-27,전극손상,0.1604
공장 C,MLCC_05,X5R,f3f94bd6-bafe-4a62-9ef7-4270527e2299,2025-09-16,전극손상,0.0368
공장 C,MLCC_05,X5R,bc2a25bd-d9d0-4760-abe7-9842507b24e7,2025-09-26,크랙,0.1759
공장 C,MLCC_05,X5R,060ce283-ba84-48cc-bdf0-211903a1a4d6,2025-09-17,크랙,0.0451
공장 A,MLCC_05,C0G,5d3b67c0-9e3a-49f0-ba48-7420698b08d8,2025-09-27,크랙,0.1851
공장 A,MLCC_05,C0G,c50085cd-7e5f-4f51-be13-23aa290ed63a,2025-09-22,크랙,0.0244
공장 A,MLCC_05,X5R,b2d3a612-3560-4b6e-9a61-b5ca414c9a65,2025-09-26,크랙,0.171
공장 A,MLCC_05,X5R,ff2ead30-7c05-43df-8586-4e54abbe1ebb,2025-09-17,크랙,0.0202
공장 A,MLCC_05,X5R,4ffa2bdf-712a-4e71-a68e-30f5ff2c7b1b,2025-09-27,크랙,0.1751
공장 A,MLCC_05,X5R,d8f6d3b3-5788-47ab-80a9-4787bc83547f,2025-09-19,크랙,0.0419
공장 A,MLCC_05,X5R,d5e1df87-a7d7-4072-8433-33785f144f6d,2025-09-28,전극손상,0.1525
공장 A,MLCC_05,X5R,df4c6420-f057-4d77-8512-37d58c9da16c,2025-09-19,전극손상,0.0455
공장 C,MLCC_05,X5R,9b65d3d2-a89c-4826-8643-42b3d87aac3b,2025-09-27,전극손상,0.1719
공장 C,MLCC_05,X5R,31b332f1-9d24-4989-ad7c-ecae45652d22,2025-09-23,전극손상,0.0369
공장 C,MLCC_05,C0G,d3b376be-7a25-4578-b42e-007fd85e4596,2025-09-26,전극손상,0.1771
공장 C,MLCC_05,C0G,b4849999-bb1a-4c6e-a7fd-f33e20d4b7d2,2025-09-15,전극손상,0.0215
공장 B,MLCC_05,X5R,121eca45-723d-4f4e-b2e7-c590a5b4b61e,2025-09-26,전극손상,0.1625
공장 B,MLCC_05,X5R,cc679c35-5db9-4b54-bd8a-dbb6c169a832,2025-09-18,전극손상,0.0116
공장 C,MLCC_05,X5R,1d812b70-b000-49f7-8891-6a528eeb432e,2025-09-28,크랙,0.1564
공장 C,MLCC_05,X5R,a0935ed3-badf-4836-95cb-26d4230c3cb5,2025-09-15,크랙,0.0309
공장 A,MLCC_05,C0G,53d26c14-afcc-48d6-9edd-0aa79b4c4547,2025-09-27,크랙,0.1543
공장 A,MLCC_05,C0G,489255a4-d203-43b4-93ee-ed01ed1faaeb,2025-09-15,크랙,0.0121
공장 B,MLCC_05,X7R,330cbb52-2cfe-4dc5-bfc1-8b4883a6c2e0,2025-09-28,크랙,0.1819
공장 B,MLCC_05,X7R,e2fe0fe4-ee58-46f8-9f72-35b099fcda07,2025-09-19,크랙,0.039
공장 A,MLCC_05,X5R,743ba686-db90-4144-aeeb-d46bdc747760,2025-09-27,전극손상,0.1857
공장 A,MLCC_05,X5R,c2cad579-cd45-4a8b-bed0-a6aee590a4f7,2025-09-17,전극손상,0.0116
공장 C,MLCC_05,X7R,9a2a0453-4ea3-4277-ad42-7360508cdc33,2025-09-27,전극손상,0.1872
공장 C,MLCC_05,X7R,775139d0-c31c-4c24-97c1-48b74e2cbeb5,2025-09-18,전극손상,0.02
공장 B,MLCC_05,C0G,793bbe32-e765-470d-be8e-b0b2fb16b6a2,2025-09-27,전극손상,0.1918
공장 B,MLCC_05,C0G,6ba1fbd7-5a95-4e0d-971c-42d036aec853,2025-09-22,전극손상,0.0378
공장 A,MLCC_05,C0G,2970f55f-db50-412b-be1b-aae4fcf7fa7c,2025-09-27,전극손상,0.1958
공장 A,MLCC_05,C0G,c6dc9161-b587-4f54-abfb-9ab8cba85766,2025-09-17,전극손상,0.0277
공장 B,MLCC_05,X5R,5b4190c1-2415-457b-bc36-5ca482d8bbd2,2025-09-26,전극손상,0.1591
공장 B,MLCC_05,X5R,618eb4fc-3e49-474b-a640-1dc45bc45ff0,2025-09-23,전극손상,0.0474
공장 A,MLCC_05,C0G,9c84399c-f20b-4ee2-86cc-bbee45c27676,2025-09-27,크랙,0.1829
공장 A,MLCC_05,C0G,dd0c6797-5fbb-4b38-9f41-33c4780d369e,2025-09-20,크랙,0.0274
공장 A,MLCC_05,X7R,2e8f7460-04f2-4f40-a70a-8e92d1227c86,2025-09-28,크랙,0.1624
공장 A,MLCC_05,X7R,cee02a49-1e74-48a0-97be-1eae25b3cb69,2025-09-16,크랙,0.0242
공장 A,MLCC_05,X5R,8b65e7fe-cece-43b7-ae9f-2265289fd268,2025-09-28,크랙,0.1671
공장 A,MLCC_05,X5R,46200df6-7ffd-43e9-9642-556dc8ba1cae,2025-09-16,크랙,0.0137
공장 C,MLCC_05,C0G,c00dc10c-1feb-4057-bf0d-7520835ab9f4,2025-09-28,전극손상,0.1928
공장 C,MLCC_05,C0G,3c2ef7ca-82a8-444e-8fb4-2cae33173f1c,2025-09-19,전극손상,0.0381
공장 B,MLCC_05,X5R,732e5bc3-c3d3-4a34-a38f-35d3225e9082,2025-09-26,전극손상,0.1903
공장 B,MLCC_05,X5R,a50651ca-c9e0-484c-ba6a-b6b8398ec169,2025-09-17,전극손상,0.0239
공장 B,MLCC_05,X5R,732c2be3-84b4-4499-9fd9-2bfe768344f6,2025-09-28,크랙,0.1699
공장 B,MLCC_05,X5R,6fadf076-fa2f-4473-aee3-85ab258432ae,2025-09-24,크랙,0.0346
공장 A,MLCC_05,X5R,a06515c2-df96-45f5-a64b-d6f6f1659c71,2025-09-27,전극손상,0.1687
공장 A,MLCC_05,X5R,76b33062-b133-4366-9d84-7b01713b5753,2025-09-24,전극손상,0.035
공장 B,MLCC_05,C0G,4c40dea7-85dd-4101-bb31-38f58dc2dc96,2025-09-28,전극손상,0.1829
공장 B,MLCC_05,C0G,091fb050-4f20-4d6a-b617-7f4a0684218e,2025-09-22,전극손상,0.0165
공장 C,MLCC_05,X5R,8b77cd07-ffe7-4aba-9a74-1849b2320a8a,2025-09-28,크랙,0.1934
공장 C,MLCC_05,X5R,a47de3d3-6279-41d4-8597-e8cbd0f33302,2025-09-18,크랙,0.0355
공장 B,MLCC_05,X7R,601b65a8-6047-4ec9-9440-d3f0eecf7252,2025-09-28,전극손상,0.1564
공장 B,MLCC_05,X7R,18aee52e-0ec5-4aff-9e10-5c9e4eb8a81e,2025-09-16,전극손상,0.0424
공장 C,MLCC_05,C0G,1a613db0-9ce9-408b-841d-5d9af8ee9b27,2025-09-28,전극손상,0.1693
공장 C,MLCC_05,C0G,63949fd2-0a7f-477e-a0ac-17f27728d5cf,2025-09-24,전극손상,0.0484
공장 B,MLCC_05,X7R,3c51c575-fa98-4a9e-9d8d-114f7af91037,2025-09-26,전극손상,0.1637
공장 B,MLCC_05,X7R,11c45321-c71c-4922-b75a-6da2292c5643,2025-09-23,전극손상,0.0186
공장 B,MLCC_05,X5R,974eeef6-a19b-406d-a46b-1674d2d7c7d8,2025-09-27,크랙,0.1547
공장 B,MLCC_05,X5R,bc34218a-84fe-453d-aa3e-36caeb57445f,2025-09-21,크랙,0.0373
공장 A,MLCC_05,X5R,1a12d72a-eae9-4404-8cb4-806fb461740c,2025-09-27,전극손상,0.1693
공장 A,MLCC_05,X5R,ab20ed1d-713b-46f5-86db-5c4090a851ec,2025-09-16,전극손상,0.0373
공장 B,MLCC_05,X5R,6fc6bd5b-a25e-412e-9fab-3baad49d3039,2025-09-28,크랙,0.1641
공장 B,MLCC_05,X5R,a513b317-cae7-4b79-817d-e29c09e72e80,2025-09-16,크랙,0.0147
공장 A,MLCC_05,X5R,9aca26c6-b381-4ae1-aca0-81df1c64e31b,2025-09-28,크랙,0.1968
공장 A,MLCC_05,X5R,14ac058a-6c13-49b1-b180-7c1d6dd36cb2,2025-09-24,크랙,0.0116
공장 A,MLCC_05,C0G,8a3676bf-a4d4-4c4e-a260-ab06da133a1d,2025-09-28,크랙,0.1641
공장 A,MLCC_05,C0G,7135861d-9d75-454f-a25f-331fb1f9563f,2025-09-21,크랙,0.0171
공장 A,MLCC_05,X7R,8f6d4fe2-5119-4e7a-b650-042f34e52c71,2025-09-27,크랙,0.1866
공장 A,MLCC_05,X7R,f6713bb6-6d3d-4cb0-9918-1f25c25f5475,2025-09-23,크랙,0.0151
공장 A,MLCC_05,X7R,817bd2ed-36d3-4f7b-a3ea-e777ca645b2c,2025-09-28,전극손상,0.167
공장 A,MLCC_05,X7R,6d865b76-90f2-4dc3-a519-01ac52fec39d,2025-09-17,전극손상,0.0472
공장 A,MLCC_05,C0G,0f0f9d4a-9210-4262-bbce-702b7904763d,2025-09-27,크랙,0.1875
공장 A,MLCC_05,C0G,765b2dbc-7584-468d-9a92-e03cce81252b,2025-09-17,크랙,0.0402
공장 A,MLCC_05,X5R,058ba3c1-9a6a-4e02-8e3a-0646d4215279,2025-09-27,크랙,0.1767
공장 A,MLCC_05,X5R,bd9745af-400a-4ff4-b958-abce7bdd1e07,2025-09-16,크랙,0.0299
공장 A,MLCC_05,X5R,08f5e5c4-c293-4e14-a6c9-a9f2acd14154,2025-09-28,크랙,0.1948
공장 A,MLCC_05,X5R,63e2c0a2-35c2-47c8-ac19-45e2cf14949c,2025-09-16,크랙,0.0256
공장 A,MLCC_05,C0G,b6203189-080b-42a2-8803-d48569764ac4,2025-09-28,크랙,0.1546
공장 A,MLCC_05,C0G,eb32dc75-734c-48bd-b84f-35b7b441f4d5,2025-09-15,크랙,0.0228
공장 B,MLCC_05,X7R,878f6a60-bfe6-4737-be76-f65f0cd161a0,2025-09-27,전극손상,0.1741
공장 B,MLCC_05,X7R,983ce936-7b7d-4c10-8b1b-94259cbdfb3e,2025-09-17,전극손상,0.0297
공장 A,MLCC_05,C0G,c880373e-fb95-49f0-8ba6-586a450b1bbd,2025-09-27,크랙,0.1801
공장 A,MLCC_05,C0G,a81c2c0a-db3b-4c85-a120-628dd8f7ba0e,2025-09-17,크랙,0.0321
공장 A,MLCC_05,C0G,da21396d-0aaf-405a-822e-14d50efee77d,2025-09-28,크랙,0.1891
공장 A,MLCC_05,C0G,f1657d34-9daa-4790-8336-25fa549ff024,2025-09-17,크랙,0.0145
공장 A,MLCC_05,X5R,9e7d6ce3-a4c6-4c5e-9d38-bdc5ffcd2d3f,2025-09-28,전극손상,0.1529
공장 A,MLCC_05,X5R,fe7c4f66-556e-486e-872e-37c866272648,2025-09-21,전극손상,0.032
공장 A,MLCC_05,X7R,3c10b0c4-ac49-48bf-ad4b-f96fd9801c31,2025-09-27,크랙,0.1773
공장 A,MLCC_05,X7R,c7f91433-8657-4f56-97e2-e0dc02a71721,2025-09-21,크랙,0.0382
공장 C,MLCC_05,C0G,368f75cb-6583-4a96-960e-68fbc4003af1,2025-09-28,전극손상,0.1918
공장 C,MLCC_05,C0G,7ab24525-6bc6-40d7-8bcf-5a7a6c6bcabf,2025-09-18,전극손상,0.0447
공장 B,MLCC_05,X7R,eafc1f27-17f0-42a8-a45b-74788315ae25,2025-09-26,전극손상,0.185
공장 B,MLCC_05,X7R,d63ef4f4-9d7c-4aba-8658-c4e43aa5e86d,2025-09-23,전극손상,0.0129
공장 B,MLCC_05,X7R,2a0a528c-0e13-4d34-915d-4f57c0ea5f2d,2025-09-27,전극손상,0.1573
공장 B,MLCC_05,X7R,32130479-8758-4f8c-aef6-c5867cf21e13,2025-09-18,전극손상,0.0305
공장 B,MLCC_05,X7R,f03ac3c0-e169-4202-8fd2-44e0b51ea4e6,2025-09-27,전극손상,0.1687
